,actual,predicted
2018-10-24 04:00:00,6612.05,6627.856748163701
2018-10-24 05:00:00,6610.94,6644.757319495083
2018-10-24 06:00:00,6598.68,6641.544539093972
2018-10-24 07:00:00,6605.11,6544.71397599578
2018-10-24 08:00:00,6605.05,6777.038764268161
2018-10-24 09:00:00,6600.53,6387.901575386525
2018-10-24 10:00:00,6606.95,6721.53067316115
2018-10-24 11:00:00,6608.18,6474.154283210636
2018-10-24 12:00:00,6611.73,6350.184134647251
2018-10-24 13:00:00,6581.0,6599.566990792752
2018-10-24 14:00:00,6590.14,6565.393470659853
2018-10-24 15:00:00,6594.82,6632.430358305574
2018-10-24 16:00:00,6585.99,6401.318839922548
2018-10-24 17:00:00,6578.82,6401.8931806236515
2018-10-24 18:00:00,6576.54,6388.977718949319
2018-10-24 19:00:00,6578.02,6424.346871346236
2018-10-24 20:00:00,6563.1,6531.384651169182
2018-10-24 21:00:00,6565.5,6552.848150700332
2018-10-24 22:00:00,6570.34,6536.834677398206
2018-10-24 23:00:00,6514.23,6675.902136415244
2018-10-25 00:00:00,6541.69,6669.134256631137
2018-10-25 01:00:00,6536.0,6570.928952425719
2018-10-25 02:00:00,6539.99,6392.082934677602
2018-10-25 03:00:00,6539.01,6411.49773707986
2018-10-25 04:00:00,6553.54,6737.05451604724
2018-10-25 05:00:00,6552.15,6693.410833194853
2018-10-25 06:00:00,6549.98,6708.665888607503
2018-10-25 07:00:00,6545.5,6356.75874580443
2018-10-25 08:00:00,6540.99,6550.1759262532005
2018-10-25 09:00:00,6546.0,6633.779015600682
2018-10-25 10:00:00,6552.34,6546.011459335686
2018-10-25 11:00:00,6560.54,6375.415130317212
2018-10-25 12:00:00,6556.0,6712.2068282067785
2018-10-25 13:00:00,6546.14,6749.770001828671
2018-10-25 14:00:00,6549.73,6606.95963998139
2018-10-25 15:00:00,6547.74,6561.678142145277
2018-10-25 16:00:00,6560.0,6613.957802563907
2018-10-25 17:00:00,6551.28,6575.836932197214
2018-10-25 18:00:00,6544.7,6591.135212212802
2018-10-25 19:00:00,6539.01,6710.634346961976
2018-10-25 20:00:00,6557.42,6408.943013995887
