,actual,predicted,compare,buy_sell
2018-01-03 21:46:50,0.986487513,1.0012763312499129,0.98659541,1
2018-01-03 21:47:00,0.986414915,1.0013573369394762,0.986530139,1
2018-01-03 21:47:10,0.986397598,1.00102185195211,0.98644089,1
2018-01-03 21:47:20,0.986388274,1.0011467612620792,0.986487513,1
2018-01-03 21:47:30,0.986478188,1.001040648331477,0.986414915,1
2018-01-03 21:47:40,0.986481518,1.0009961894111234,0.986397598,1
2018-01-03 21:47:50,0.986434896,1.0010058966828534,0.986388274,1
2018-01-03 21:48:00,0.986411585,1.0009076068458562,0.986478188,1
2018-01-03 21:48:10,0.986392936,1.0004877791305606,0.986481518,1
2018-01-03 21:48:20,0.986260395,1.0001731405921803,0.986434896,1
2018-01-03 21:48:30,0.986253735,1.0002107543056298,0.986411585,1
2018-01-03 21:48:40,0.986287702,1.0004245622478174,0.986392936,1
2018-01-03 21:48:50,0.0,0.0,0.986260395,0
2018-01-03 21:49:00,0.0,0.0,0.986253735,0
2018-01-03 21:49:10,0.0,0.0,0.986287702,0
2018-01-03 21:49:20,0.0,0.0,0.0,0
2018-01-03 21:49:30,0.0,0.0,0.0,0
2018-01-03 21:49:40,0.0,0.0,0.0,0
2018-01-03 21:49:50,0.0,0.0,0.0,0
2018-01-03 21:50:00,0.985977997,1.0008284713646078,0.0,1
2018-01-03 21:50:10,0.985941365,1.000484311125226,0.0,1
2018-01-03 21:50:20,0.985940699,0.999998795617042,0.0,1
2018-01-03 21:50:30,0.0,0.0,0.985977997,0
2018-01-03 21:50:40,0.0,0.0,0.985941365,0
2018-01-03 21:50:50,0.0,0.0,0.985940699,0
2018-01-03 21:51:00,0.0,0.0,0.0,0
2018-01-03 21:51:10,0.0,0.0,0.0,0
2018-01-03 21:51:20,0.0,0.0,0.0,0
2018-01-03 21:51:30,0.0,0.0,0.0,0
2018-01-03 21:51:40,0.0,0.0,0.0,0
2018-01-03 21:51:50,0.0,0.0,0.0,0
2018-01-03 21:52:00,0.0,0.0,0.0,0
2018-01-03 21:52:10,0.0,0.0,0.0,0
2018-01-03 21:52:20,0.985898073,0.9996307452563185,0.0,1
2018-01-03 21:52:30,0.985835466,0.9993171963631188,0.0,1
2018-01-03 21:52:40,0.985780851,0.999096572899873,0.0,1
2018-01-03 21:52:50,0.985776855,0.9989126952756294,0.985898073,1
2018-01-03 21:53:00,0.985850785,0.9986829966745564,0.985835466,1
2018-01-03 21:53:10,0.985798168,0.9987643009688087,0.985780851,1
2018-01-03 21:53:20,0.985710251,0.998552064630247,0.985776855,1
2018-01-03 21:53:30,0.985716246,0.9983934287064636,0.985850785,1
2018-01-03 21:53:40,0.985739557,0.9979103823621984,0.985798168,1
2018-01-03 21:53:50,0.985698263,0.9976592924895492,0.985710251,1
2018-01-03 21:54:00,0.985989319,0.9977980633435,0.985716246,1
2018-01-03 21:54:10,0.985966008,0.9980885201407546,0.985739557,1
2018-01-03 21:54:20,0.985824809,0.998184726729834,0.985698263,1
2018-01-03 21:54:30,0.0,0.0,0.985989319,0
2018-01-03 21:54:40,0.0,0.0,0.985966008,0
2018-01-03 21:54:50,0.0,0.0,0.985824809,0
2018-01-03 21:55:00,0.0,0.0,0.0,0
2018-01-03 21:55:10,0.0,0.0,0.0,0
2018-01-03 21:55:20,0.0,0.0,0.0,0
2018-01-03 21:55:30,0.0,0.0,0.0,0
2018-01-03 21:55:40,0.0,0.0,0.0,0
2018-01-03 21:55:50,0.0,0.0,0.0,0
2018-01-03 21:56:00,0.0,0.0,0.0,0
2018-01-03 21:56:10,0.0,0.0,0.0,0
2018-01-03 21:56:20,0.985778853,0.998228874821915,0.0,1
2018-01-03 21:56:30,0.985769528,0.99821130254715,0.0,1
2018-01-03 21:56:40,0.985723572,0.9981124574102048,0.0,1
2018-01-03 21:56:50,0.985708919,0.9981734426157992,0.985778853,1
2018-01-03 21:57:00,0.985655637,0.9982058543212464,0.985769528,1
2018-01-03 21:57:10,0.98564165,0.9981174813031296,0.985723572,1
2018-01-03 21:57:20,0.98569027,0.9980807319716746,0.985708919,1
2018-01-03 21:57:30,0.985699595,0.9979337067062348,0.985655637,1
2018-01-03 21:57:40,0.985618339,0.9978469803794726,0.98564165,1
2018-01-03 21:57:50,0.98539988,0.9977602680225204,0.98569027,1
2018-01-03 21:58:00,0.985361916,0.9973653781643173,0.985699595,1
2018-01-03 21:58:10,0.985173428,0.9969805919712029,0.985618339,1
2018-01-03 21:58:20,0.985317292,0.9966992050730968,0.98539988,1
2018-01-03 21:58:30,0.985437178,0.9967710622833306,0.985361916,1
2018-01-03 21:58:40,0.985291982,0.9970843474963662,0.985173428,1
2018-01-03 21:58:50,0.985321288,0.9978921377903268,0.985317292,1
2018-01-03 21:59:00,0.985395218,0.9980203806462092,0.985437178,1
2018-01-03 21:59:10,0.985419861,0.9974827839400856,0.985291982,1
2018-01-03 21:59:20,0.985509775,0.9972370148188232,0.985321288,1
2018-01-03 21:59:30,0.985542411,0.9962047453940543,0.985395218,1
2018-01-03 21:59:40,0.985477806,0.9963592776861476,0.985419861,1
2018-01-03 21:59:50,0.98549046,0.9963975165485948,0.985509775,1
2018-01-03 22:00:00,0.985586369,0.996138586120078,0.985542411,1
2018-01-03 22:00:10,0.985501783,0.9960460221589584,0.985477806,1
2018-01-03 22:00:20,0.98544184,0.9961584791295308,0.98549046,1
2018-01-03 22:00:30,0.985167434,0.996343905656459,0.985586369,1
2018-01-03 22:00:40,0.0,0.0,0.985501783,0
2018-01-03 22:00:50,0.985088176,0.9963645443045209,0.98544184,1
2018-01-03 22:01:00,0.985025569,0.9963021306858534,0.985167434,1
2018-01-03 22:01:10,0.0,0.0,0.0,0
2018-01-03 22:01:20,0.0,0.0,0.985088176,0
2018-01-03 22:01:30,0.0,0.0,0.985025569,0
2018-01-03 22:01:40,0.0,0.0,0.0,0
2018-01-03 22:01:50,0.0,0.0,0.0,0
2018-01-03 22:02:00,0.0,0.0,0.0,0
2018-01-03 22:02:10,0.985064865,0.9961738232195994,0.0,1
2018-01-03 22:02:20,0.984952971,0.9956865719625216,0.0,1
2018-01-03 22:02:30,0.984897691,0.9952743350927398,0.0,1
2018-01-03 22:02:40,0.984926996,0.9950959144255309,0.985064865,1
2018-01-03 22:02:50,0.984818433,0.9948106212193008,0.984952971,1
2018-01-03 22:03:00,0.984592647,0.9947131556010944,0.984897691,1
2018-01-03 22:03:10,0.984440126,0.9946440120264548,0.984926996,1
2018-01-03 22:03:20,0.983679515,0.9944135712792249,0.984818433,1
2018-01-03 22:03:30,0.9839759,0.9941277891296446,0.984592647,1
